Date,Open,High,Low,Close,Volume,average,barCount
2025-01-31,29.98,30.21,29.76,29.84,3655910.0,29.95,17742
2025-02-03,29.6,29.76,28.98,29.28,5885464.0,29.376,29241
2025-02-04,29.12,29.15,28.52,28.7,7242615.0,28.731,33140
2025-02-05,28.66,28.72,28.31,28.61,15089054.0,28.495,42699
2025-02-06,28.96,29.08,28.7,29.01,6118004.0,28.943,27173
2025-02-07,29.12,29.34,28.86,29.3,5376855.0,29.114,25824
2025-02-10,29.12,29.18,28.7,28.96,6903520.0,28.927,29164
2025-02-11,28.96,29.66,28.78,29.58,6465911.0,29.325,33372
2025-02-12,27.53,28.82,27.25,28.62,13329720.0,28.336,61402
2025-02-13,28.32,29.32,28.08,29.25,8927779.0,28.824,41243
2025-02-14,29.24,29.59,28.84,28.92,5934710.0,29.134,28787
2025-02-18,28.65,29.44,28.62,29.32,7019158.0,29.162,33522
2025-02-19,29.35,29.93,29.22,29.79,6692584.0,29.612,30263
2025-02-20,29.82,30.25,29.8,30.16,5250232.0,30.056,27425
2025-02-21,30.28,31.3,30.23,31.13,8075233.0,30.912,39378
2025-02-24,31.12,31.93,30.97,31.36,8795669.0,31.511,42643
2025-02-25,31.46,31.9,31.32,31.73,7349191.0,31.721,37798
2025-02-26,31.53,31.58,30.54,30.62,7482442.0,30.745,39067
2025-02-27,30.49,30.92,30.23,30.65,6239449.0,30.66,34967
2025-02-28,30.89,31.06,30.58,30.71,5731542.0,30.718,35112
2025-03-03,30.7,31.39,30.65,31.32,5959338.0,31.184,29459
2025-03-04,31.61,31.92,30.95,30.98,9659500.0,31.408,44408
2025-03-05,30.83,31.52,30.76,30.99,5737949.0,31.108,31462
2025-03-06,31.04,31.57,30.82,31.28,6359194.0,31.215,34986
2025-03-07,30.84,32.69,30.82,32.18,11805382.0,32.086,58488
2025-03-10,32.45,33.35,32.16,32.22,10411262.0,32.803,54023
2025-03-11,32.12,32.25,31.01,31.1,9747645.0,31.45,51946
2025-03-12,30.63,31.02,30.03,30.3,9746964.0,30.341,47577
2025-03-13,30.33,30.84,30.12,30.19,8315268.0,30.414,35640
2025-03-14,30.13,30.53,30.09,30.23,6613264.0,30.289,31812
2025-03-17,30.24,30.8,30.22,30.66,6420842.0,30.606,30718
2025-03-18,30.8,30.89,30.37,30.39,4323063.0,30.623,20954
2025-03-19,30.17,30.4,29.73,29.89,8810071.0,29.926,43489
2025-03-20,29.95,30.15,29.69,29.71,8859620.0,29.889,37551
2025-03-21,29.58,29.93,29.38,29.52,9584508.0,29.586,35899
2025-03-24,29.23,29.47,28.94,29.12,7936608.0,29.123,36170
2025-03-25,29.11,29.24,28.93,29.1,4928410.0,29.121,24634
2025-03-26,29.17,29.83,29.15,29.69,5059049.0,29.613,22632
2025-03-27,29.86,30.13,29.77,30.07,5577082.0,30.026,28854
2025-03-28,30.24,30.41,30.05,30.24,5497691.0,30.24,26217
2025-03-31,30.37,30.77,30.28,30.43,5215234.0,30.49,26059
2025-04-01,30.58,30.69,30.12,30.34,5582480.0,30.313,28809
2025-04-02,30.39,30.56,30.04,30.13,4629753.0,30.205,23812
2025-04-03,30.5,31.12,30.4,30.81,8616352.0,30.878,49390
2025-04-04,30.39,31.15,29.65,29.68,11971016.0,30.263,59947
2025-04-07,28.93,29.73,28.44,28.53,14051991.0,28.838,73477
2025-04-08,28.79,28.91,27.46,27.69,11936908.0,28.191,66317
2025-04-09,27.6,29.27,27.26,29.1,12695641.0,28.47,75947
2025-04-10,29.02,29.25,28.27,28.84,8027523.0,28.732,51822
2025-04-11,29.08,29.56,28.75,29.33,6355819.0,29.221,37318
2025-04-14,29.44,29.89,29.34,29.8,5764688.0,29.662,31070
2025-04-15,29.9,30.01,29.37,29.42,5303574.0,29.583,27680
2025-04-16,29.6,29.65,28.67,28.81,5062662.0,29.068,28438
2025-04-17,28.98,29.57,28.84,29.46,4929417.0,29.32,27280
2025-04-21,29.56,29.98,29.39,29.94,4280406.0,29.743,22446
2025-04-22,29.95,30.42,29.83,30.2,5817817.0,30.185,30530
2025-04-23,30.13,30.42,29.76,30.09,4856212.0,30.071,28298
2025-04-24,30.11,30.12,29.45,29.64,5578962.0,29.651,26803
2025-04-25,29.65,29.74,29.29,29.49,5386393.0,29.48,30197
2025-04-28,29.39,29.46,28.71,28.81,14253424.0,28.956,63892
2025-04-29,28.9,29.09,28.52,28.87,9073292.0,28.871,46554
2025-04-30,29.1,29.29,28.74,29.1,4851439.0,29.033,27300
